,Target
1702,0.0
1703,-28.80000000000041
1704,0.0
1705,-28.80000000000041
1706,0.0
1707,-28.80000000000041
1708,0.0
1709,0.0
1710,-28.799999999998363
1711,-28.80000000000041
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,-28.80000000000041
1717,0.0
1718,-28.80000000000041
1719,0.0
1720,-28.80000000000041
1721,-28.799999999998363
1722,-28.799999999998363
1723,-28.799999999998363
1724,0.0
1725,-28.80000000000041
1726,0.0
1727,-28.80000000000041
1728,0.0
1729,-28.80000000000041
1730,0.0
1731,0.0
1732,-28.80000000000041
1733,-28.799999999998363
1734,0.0
1735,-28.80000000000041
1736,0.0
1737,0.0
1738,-28.80000000000041
1739,0.0
1740,0.0
1741,0.0
1742,-28.80000000000041
1743,0.0
1744,-28.80000000000041
1745,0.0
1746,0.0
1747,0.0
1748,-28.799999999998363
1749,0.0
1750,-28.80000000000041
1751,0.0
1752,-28.80000000000041
1753,-28.80000000000041
1754,0.0
1755,0.0
1756,0.0
1757,-28.80000000000041
1758,0.0
1759,-28.799999999998363
1760,0.0
1761,-28.80000000000041
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,-28.80000000000041
1767,0.0
1768,0.0
1769,-28.80000000000041
1770,0.0
1771,-28.80000000000041
1772,0.0
1773,-28.799999999998363
1774,0.0
1775,-28.80000000000041
1776,0.0
1777,0.0
1778,0.0
1779,-28.80000000000041
1780,-28.80000000000041
1781,0.0
1782,0.0
1783,-28.80000000000041
1784,-28.799999999998363
1785,-28.80000000000041
1786,-28.80000000000041
1787,-28.80000000000041
1788,-43.200000000000614
1789,-57.60000000000082
1790,-46.08000000000065
1791,-34.56000000000049
1792,-23.040000000000333
1793,-11.520000000000167
1794,0.0
1795,0.0
1796,-28.80000000000041
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,-28.80000000000041
1802,-28.80000000000041
1803,0.0
1804,-28.80000000000041
1805,0.0
1806,-28.799999999998363
1807,-28.80000000000041
1808,0.0
1809,-28.80000000000041
1810,0.0
1811,-28.80000000000041
1812,0.0
1813,-14.400000000000205
1814,-28.80000000000041
1815,0.0
1816,-28.80000000000041
1817,0.0
1818,0.0
1819,0.0
1820,-28.799999999998363
1821,0.0
1822,-28.80000000000041
1823,0.0
1824,-28.80000000000041
1825,0.0
1826,0.0
1827,-28.80000000000041
1828,0.0
1829,-28.80000000000041
1830,0.0
1831,-28.799999999998363
1832,0.0
1833,-28.80000000000041
1834,0.0
1835,0.0
1836,-28.80000000000041
1837,0.0
1838,-28.80000000000041
1839,0.0
1840,-28.80000000000041
1841,0.0
1842,-28.799999999998363
1843,0.0
1844,-28.80000000000041
1845,-28.80000000000041
1846,0.0
1847,-28.80000000000041
1848,0.0
1849,-28.80000000000041
1850,0.0
1851,0.0
1852,-28.799999999998363
1853,0.0
1854,0.0
1855,0.0
1856,-28.80000000000041
1857,-28.80000000000041
1858,0.0
1859,-28.80000000000041
1860,0.0
1861,0.0
1862,-28.80000000000041
1863,0.0
1864,-28.799999999998363
1865,0.0
1866,-28.80000000000041
1867,0.0
1868,-28.80000000000041
1869,0.0
1870,-28.80000000000041
1871,-28.80000000000041
1872,0.0
1873,0.0
1874,-57.59999999999877
1875,0.0
1876,0.0
1877,-28.80000000000041
1878,0.0
1879,-28.80000000000041
1880,0.0
1881,-28.80000000000041
1882,0.0
1883,-28.799999999998363
1884,-28.799999999998363
1885,-28.799999999998363
1886,-28.80000000000041
