FCCFFI232.PV,FCCFPC175.MV,FCCFPC175.PV,FCCGAI008.PV,FCCGDI501AM.PV,FCCGDI501M.PV,FCCGDI502M.PV,FCCGFC014.PV,FCCGFC028.MV,FCCGFC028.PV,FCCGFC030.PV,FCCGFI004.PV,FCCGLC040.PV,FCCGLC501.MV,FCCGLC501.PV,FCCGLI015.PV,FCCGPC039.PV,FCCGPDI510.PV,FCCGPI022.PV,FCCGPI023.PV,FCCGPI025.PV,FCCGPI501.PV,FCCGPI505.PV,FCCGPI508.PV,FCCGPI509.PV,FCCGPI511.PV,FCCGPI512.PV,FCCGTI012.PV,FCCGTI037.PV,FCCGTI501M.PV,FCCGTI502M.PV,FCCGTI503M.PV,FCCGTI505AM.PV,FCCGTI506M.PV,FCCGTI507M.PV,FCCGTI508M.PV,FCCGTI509M.PV,FCCGTI510M.PV,FCCGTI511M.PV,FCCGTI514M.PV,FCCGTI518M.PV,FCCGTI521M.PV,FCCGTI522M.PV,FCCGTI528.PV,FCCGTI529M.PV,FCCGYI501M.PV,FCCGYI502.PV,FCCGYI503.PV,FCCGYI504.PV,FCCGYI505.PV,FCCGYI507M.PV,FCCGYI508.PV
2610.323,82.1,1.55,0.6,0.132107,0.143628,0.0707974,672.72,100,404.4,175.486,155.5,38.8651,19.9,60.2,-0.8,5.454,6673.5,6.1,5.4,13.1,10.6,16.6,-0.838835,-0.1,3.2,2.6,59.6,47,46.9818,68.974,50.9789,49.9882,60.9752,76.9706,60.9752,61.9751,71.9713,70.7726,52.9786,103.991,103.991,44.9958,317.9,59.9883,28.135,35.7,32.8,40.3,24.9,14.3188,14.5381
2610.639,81.9,1.55,0.6,0.132006,0.143641,0.0710469,666.85,100,402.4,175.11,152.7,40.9862,21.2,59.8,-0.8,5.454,6681.2,6,5.4,13.1,10.6,16.6,-0.839955,-0.1,3.2,2.6,59.3,46.9,46.9818,68.974,50.9789,49.9814,60.9752,76.9706,60.9752,61.9751,71.9713,70.3247,52.9786,103.991,103.991,44.9958,317.9,59.994,28.1299,35.67,32.8,40.3,25.1,14.4816,14.7423
2608.384,81.8,1.55,0.6,0.1329,0.144424,0.0712802,664.01,100,400.9,174.081,153.2,38.9819,19.5,60.1,-0.8,5.454,6668.1,6,5.4,13.1,10.6,16.5,-0.837269,-0.1,3.2,2.6,59.6,46.7,46.9818,68.974,50.9789,49.9814,60.9752,76.9706,60.9752,61.9751,71.9713,69.9739,52.9786,103.991,103.991,44.2549,317.8,59.9945,28.1078,35.51,32.7,40.2,25.9,14.9313,15.4156
2607.085,81.8,1.55,0.6,0.132684,0.14418,0.071271,662.2,100,401,175.089,152.7,40.9298,21.2,60,-0.9,5.455,6682.2,6,5.4,13.1,10.6,16.5,-0.837023,-0.1,3.2,2.6,59.6,46.7,46.9818,68.974,50.9789,49.9814,60.9752,76.9706,60.9752,61.9751,71.9713,69.9739,52.9786,103.991,103.821,43.9964,318,59.9945,28.0867,35.64,32.7,40.4,25.1,14.5106,14.8657
2606.157,81.6,1.55,0.6,0.132425,0.143875,0.0714203,655.74,100,398,175.859,153.2,38.9877,19.6,59.9,-1,5.449,6677.6,6,5.4,13.1,10.6,16.6,-0.837591,-0.1,3.2,2.6,59.6,46.5,46.9818,68.974,50.9789,49.9814,60.9752,76.7223,60.9752,61.9751,71.9713,69.9739,52.9786,103.991,103.743,43.9964,317.9,59.9945,28.0619,35.48,32.7,40.4,24.6,14.2623,14.4713
2599.022,81.5,1.55,0.6,0.131699,0.143141,0.0714153,654.23,100,397.2,174.892,150.5,40.9824,20.8,60.2,-0.9,5.447,6687.5,6,5.4,13.1,10.6,16.6,-0.840837,-0.1,3.2,2.6,59.3,46.3,46.9818,68.974,50.9789,49.9814,60.9752,76.3444,60.9752,61.9751,71.9713,69.9739,52.9786,103.991,102.992,43.9964,317.1,59.8201,28.1005,35.45,32.7,40.3,24.4,14.2109,14.4274
2597.341,81.7,1.55,0.6,0.131446,0.142857,0.071371,659.21,100,399,174.69,152.3,39.1213,20.3,59.8,-1,5.449,6677.4,6,5.4,13.1,10.6,16.6,-0.83963,-0.1,3.2,2.6,59.3,46.3,46.9818,68.5629,50.9789,49.9814,60.9752,76.5616,60.9752,61.9751,71.9713,69.9739,52.9786,103.343,102.992,43.9964,315.9,59.9168,28.1114,35.7,32.8,40.3,24.4,14.2061,14.4357
2599.192,81.5,1.55,0.6,0.131431,0.142893,0.0714525,656.61,100,397.4,174.705,153.2,40.8343,20,60.2,-0.9,5.444,6685.4,6,5.4,13.1,10.6,16.6,-0.837206,-0.1,3.2,2.6,59.6,46.2,46.9818,67.9742,50.9789,49.9814,60.9752,75.9776,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,314.4,59.9945,28.1402,35.6,32.7,40.3,24.4,14.2102,14.4064
2601.204,81.1,1.55,0.6,0.131603,0.14306,0.0716374,649.68,100,394.2,175.114,149.2,39.1053,20.9,59.8,-1,5.437,6687.3,6,5.4,13.1,10.6,16.6,-0.837032,-0.1,3.2,2.6,59.6,46.2,46.9818,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,313.6,59.9945,28.0687,35.36,32.7,40.3,24.6,14.3146,14.5213
2604.128,81.2,1.55,0.6,0.131451,0.142961,0.0715062,648.24,100,394.2,175.624,150.6,40.8748,19.4,60.2,-1,5.44,6688.6,6,5.4,13.1,10.6,16.7,-0.835683,-0.1,3.2,2.6,59.7,46,46.9267,67.9742,50.9789,49.9814,60.9752,75.9708,60.9752,61.9751,71.9713,69.9739,52.9786,102.992,102.992,43.9964,313.4,60.0294,28.0639,35.41,32.7,40.3,24.5,14.2862,14.5303
